fung,AI,isolate,code,DPI,rate_ppm,rep,length_mm-5,width_mm
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,100,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,100,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,100,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,500,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,500,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,500,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,1000,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,1000,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,1000,3,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0,1,79,79
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0,2,79,79
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0,3,70.81,67.48
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.01,1,75.43,69.07
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.01,2,66.52,59.13
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.01,3,75.52,74.49
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.1,1,48.34,44.29
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.1,2,50.95,51.2
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.1,3,51.76,43.55
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1,1,10.47,10.87
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1,2,8.23,7.42
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1,3,9.17,9.14
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,10,1,5.87,4.72
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,10,2,3.22,2.62
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,10,3,5.71,5.75
